id	filename	md5	size	state
9669a175-8199-4eff-b589-feac4b09da60	nationwidechildrens.org_clinical.TCGA-AN-A0FZ.xml	573039b77776cf1f403fd8f5c941e01e	50812	live
faeab742-2398-4bf1-a5a1-a9c4c99797ee	nationwidechildrens.org_clinical.TCGA-E2-A15E.xml	72a5dfca8b5bd6ccd564acb6bf0d610a	99807	live
0e187348-7fdc-4534-bf33-9da5de82d3d4	nationwidechildrens.org_clinical.TCGA-BH-A0GZ.xml	65968bdb2a785dface781c68c1f6d514	77737	live
830a22e9-981f-4824-baca-e90034d34699	nationwidechildrens.org_clinical.TCGA-AC-A5EH.xml	5d73650d2918aacfc0bb15e937d0ca3d	64937	live
459ed97d-551d-49da-827e-949465f75c07	nationwidechildrens.org_clinical.TCGA-C8-A1HL.xml	c9517d3c6059bc235735f3768ec8baf2	50656	live
86a8cbe7-b576-48a2-854d-1269cd45d1c7	nationwidechildrens.org_clinical.TCGA-D8-A1XD.xml	45471416ea5b9a6eb71b0fc9e27887b4	55786	live
0bf430b4-ad4f-4f03-9c4a-666108c10d9b	nationwidechildrens.org_clinical.TCGA-E2-A15I.xml	1495e89709495b248a829668b8285f41	71884	live
ac6c3364-b5a4-4415-af98-5c89fa537db3	nationwidechildrens.org_clinical.TCGA-AR-A2LE.xml	d03c247976c63dc478eb9406284abe9f	89734	live
dfd9704a-d4c7-4537-b1d9-566bb51e528e	nationwidechildrens.org_clinical.TCGA-BH-A0BQ.xml	b60d9847289d6d6c2d32c1d82582eca7	51167	live
156c1cde-5739-4278-9c82-3b8065b580f4	nationwidechildrens.org_clinical.TCGA-UU-A93S.xml	8a88930ed0f50ef7a80b91d8277ccf3a	47772	live
86b90363-6ce8-4c64-98e3-9f707ea436ca	nationwidechildrens.org_clinical.TCGA-AC-A3QP.xml	f20d47edc870cea9699fa6ea3aa39805	61930	live
a927c74e-b43b-4040-b3ea-11dbd474356d	nationwidechildrens.org_clinical.TCGA-C8-A135.xml	ea782397d866101f016d4395835aae5f	88115	live
9a16c60d-6f64-4294-bfdd-6aa02d9f4d13	nationwidechildrens.org_clinical.TCGA-EW-A1OX.xml	e22a6f47ccc70b1ef332bf5b7e73e957	81183	live
138a6e5b-f643-41c8-a2d9-f10a8c06119a	nationwidechildrens.org_clinical.TCGA-B6-A0RI.xml	0cc12bc54e03798cec1aac69047802df	51915	live
7aeb6f95-aa97-424f-a0ba-9a3145bfccaa	nationwidechildrens.org_clinical.TCGA-A7-A0CE.xml	0022ed84fbf103f644ea3ec9631bc9d3	94126	live
c475d305-551e-470c-ae5b-ad6eadf61c35	nationwidechildrens.org_clinical.TCGA-A8-A079.xml	aa9d1378ef11cbd81f01b559c0038838	72569	live
5ca84cbb-e7b4-4172-94c4-0d3548e84eb2	nationwidechildrens.org_clinical.TCGA-D8-A1XR.xml	0252c74ee3eff7ac7f8c8789b7bcaede	57215	live
7bf8902d-2676-4d8e-9cfe-0bcee34cb0c5	nationwidechildrens.org_clinical.TCGA-AO-A12A.xml	0db5ed86a66f7a3daff880d1e0d2baef	101824	live
339b412f-90af-49ee-923c-47dcb1ea1090	nationwidechildrens.org_clinical.TCGA-E2-A1BD.xml	a63d8b5307ee3bc66de549e37140c847	76529	live
03e5e461-1557-4d01-ab16-23bad7a0cf3a	nationwidechildrens.org_clinical.TCGA-E9-A229.xml	0e01df1c1f12d9dd31eb3eff670aed32	88363	live
09146727-c2a3-4172-8480-3d7e95bfdcb4	nationwidechildrens.org_clinical.TCGA-AN-A0XL.xml	1e97fc7d36345bcc4c23199c475f186b	50763	live
211a8e62-903f-4dfd-930a-3a75ffc9c372	nationwidechildrens.org_clinical.TCGA-A8-A07B.xml	a5c9bb34cca56eb56a608dd150d8036e	50402	live
